sample_name,sector,sector_colour,site,SiteCharacteristic,ST,Number,Location,,,sample,SiteCharacteristic
E170,Environment,#339900,Kali Molek,05_Upstream,2170,4,Kali Molek,,,,
E171,Environment,#339900,Kranggan,05_Upstream,69,6,Kranggan,,,,
E172,Environment,#339900,Kranggan,05_Upstream,3580,6,Kranggan,,,,
E173,Environment,#339900,Kranggan,05_Upstream,746,6,Kranggan,,,,
E186,Environment,#339900,Kali Molek,05_Upstream,410,4,Kali Molek,,,,
E60,Environment,#339900,Kali Molek,05_Upstream,48,4,Kali Molek,,,,
E62,Environment,#339900,Kranggan,05_Upstream,410,6,Kranggan,,,,
E63,Environment,#339900,Kranggan,05_Upstream,10,6,Kranggan,,,,
E64,Environment,#339900,Kranggan,05_Upstream,10,6,Kranggan,,,,
E78,Environment,#339900,Kali Molek,05_Upstream,2607,4,Kali Molek,,,,
E79,Environment,#339900,Kali Molek,05_Upstream,38,4,Kali Molek,,,,
E80,Environment,#339900,Kali Molek,05_Upstream,101,4,Kali Molek,,,,
E81,Environment,#339900,Kranggan,05_Upstream,10,6,Kranggan,,,,
E99,Environment,#339900,Kali Molek,05_Upstream,3580,4,Kali Molek,,,,
E101,Environment,#339900,Kali Sunter,06_Midstream,15460,5,Kali Sunter,,,,
E102,Environment,#339900,Kali Sunter,06_Midstream,69,5,Kali Sunter,,,,
E103,Environment,#339900,Kali Sunter,06_Midstream,359,5,Kali Sunter,,,,
E104,Environment,#339900,Kali Sunter,06_Midstream,4380,5,Kali Sunter,,,,
E138,Environment,#339900,Kali Sunter,06_Midstream,-,5,Kali Sunter,,,,
E61,Environment,#339900,Kali Sunter,06_Midstream,8676,5,Kali Sunter,,,,
E107,Environment,#339900,Kali Sindang,07_Downstream,3052,9,Kali Sindang,,,,
E108,Environment,#339900,Cilincing,07_Downstream,398,10,Cilincing,,,,
E109,Environment,#339900,Cilincing,07_Downstream,410,10,Cilincing,,,,
E110,Environment,#339900,BKT,07_Downstream,58,11,BKT,,,,
E111,Environment,#339900,BKT,07_Downstream,2165,11,BKT,,,,
E112,Environment,#339900,BKT,07_Downstream,6707,11,BKT,,,,
E113,Environment,#339900,BKT,07_Downstream,38,11,BKT,,,,
E124,Environment,#339900,Kali Sindang,07_Downstream,410,9,Kali Sindang,,,,
E125,Environment,#339900,Cilincing,07_Downstream,1722,10,Cilincing,,,,
E126,Environment,#339900,Cilincing,07_Downstream,1431,10,Cilincing,,,,
E127,Environment,#339900,Cilincing,07_Downstream,10,10,Cilincing,,,,
E128,Environment,#339900,BKT,07_Downstream,410,11,BKT,,,,
E129,Environment,#339900,BKT,07_Downstream,410,11,BKT,,,,
E130,Environment,#339900,BKT,07_Downstream,127,11,BKT,,,,
E143,Environment,#339900,Kali Sindang,07_Downstream,73,9,Kali Sindang,,,,
E144,Environment,#339900,Kali Sindang,07_Downstream,410,9,Kali Sindang,,,,
E145,Environment,#339900,Kali Sindang,07_Downstream,117,9,Kali Sindang,,,,
E146,Environment,#339900,Kali Sindang,07_Downstream,533,9,Kali Sindang,,,,
E147,Environment,#339900,BKT,07_Downstream,405,11,BKT,,,,
E159,Environment,#339900,Kali Sindang,07_Downstream,162,9,Kali Sindang,,,,
E160,Environment,#339900,Kali Sindang,07_Downstream,-,9,Kali Sindang,,,,
E161,Environment,#339900,Kali Sindang,07_Downstream,-,9,Kali Sindang,,,,
E176,Environment,#339900,Cilincing,07_Downstream,12780,10,Cilincing,,,,
E177,Environment,#339900,Cilincing,07_Downstream,38,10,Cilincing,,,,
E178,Environment,#339900,Cilincing,07_Downstream,5276,10,Cilincing,,,,
E66,Environment,#339900,Kali Sindang,07_Downstream,155,9,Kali Sindang,,,,
E67,Environment,#339900,Cilincing,07_Downstream,6707,10,Cilincing,,,,
E68,Environment,#339900,BKT,07_Downstream,44,11,BKT,,,,
E69,Environment,#339900,BKT,07_Downstream,2562,11,BKT,,,,
E84,Environment,#339900,Kali Sindang,07_Downstream,43,9,Kali Sindang,,,,
E85,Environment,#339900,Kali Sindang,07_Downstream,11146,9,Kali Sindang,,,,
E86,Environment,#339900,Cilincing,07_Downstream,1266,10,Cilincing,,,,
E87,Environment,#339900,Cilincing,07_Downstream,752,10,Cilincing,,,,
E88,Environment,#339900,Cilincing,07_Downstream,11749,10,Cilincing,,,,
E89,Environment,#339900,BKT,07_Downstream,1722,11,BKT,,,,
E90,Environment,#339900,BKT,07_Downstream,69,11,BKT,,,,
E115,Environment,#339900,Inlet Persahabatan,08_Hospital wastewater inlet,410,16,Inlet Persahabatan,,,,
E134,Environment,#339900,Inlet Persahabatan,08_Hospital wastewater inlet,405,16,Inlet Persahabatan,,,,
E135,Environment,#339900,Inlet Persahabatan,08_Hospital wastewater inlet,410,16,Inlet Persahabatan,,,,
E166,Environment,#339900,Inlet Persahabatan,08_Hospital wastewater inlet,8676,16,Inlet Persahabatan,,,,
E184,Environment,#339900,Inlet Persahabatan,08_Hospital wastewater inlet,410,16,Inlet Persahabatan,,,,
E188,Environment,#339900,Inlet Persahabatan,08_Hospital wastewater inlet,410,16,Inlet Persahabatan,,,,
E189,Environment,#339900,Inlet Persahabatan,08_Hospital wastewater inlet,48,16,Inlet Persahabatan,,,,
E167,Environment,#339900,Outlet Persahabatan,09_Hospital wasterwater outlet,205,17,Outlet Persahabatan,,,,
E168,Environment,#339900,Outlet Persahabatan,09_Hospital wasterwater outlet,1266,17,Outlet Persahabatan,,,,
E185,Environment,#339900,Outlet Persahabatan,09_Hospital wasterwater outlet,155,17,Outlet Persahabatan,,,,
E97,Environment,#339900,Outlet Persahabatan,09_Hospital wasterwater outlet,6448,17,Outlet Persahabatan,,,,
E98,Environment,#339900,Outlet Persahabatan,09_Hospital wasterwater outlet,43,17,Outlet Persahabatan,,,,
