"","sample_name","sector","sector_colour","site","SiteCharacteristic","ST","Number","Location","S","E","Latitude","Longitude"
"154","E147","Environment","#339900","BKT","07_Downstream","405",11,"BKT","S 06'06'38.1""","E 106'58'08.8",-6.11058333333333,106.969111111111
"155","E148","Environment","#339900","RPH Pulogadung","04_Slaughtherhouse","3856",13,"RPH Pulogadung","S 06'11'06.1""","E 106'54'16.1",-6.18502777777778,106.904472222222
"156","E149","Environment","#339900","Pasar Deprok","03_Market","2541",14,"Pasar Deprok","S 06'13'02.4""","E 106'53'41.5",-6.21733333333333,106.894861111111
"157","E151","Environment","#339900","Kali Molek","05_Upstream","1201",4,"Kali Molek","S 06'17'04.0""","E 106'54'31.4",-6.28444444444444,106.908722222222
"158","E152","Environment","#339900","Kali Molek","05_Upstream","58",4,"Kali Molek","S 06'17'04.0""","E 106'54'31.4",-6.28444444444444,106.908722222222
"159","E153","Environment","#339900","Kali Molek","05_Upstream","38",4,"Kali Molek","S 06'17'04.0""","E 106'54'31.4",-6.28444444444444,106.908722222222
"160","E154","Environment","#339900","Kali Molek","05_Upstream","6707",4,"Kali Molek","S 06'17'04.0""","E 106'54'31.4",-6.28444444444444,106.908722222222
"161","E155","Environment","#339900","Kali Molek","05_Upstream","1201",4,"Kali Molek","S 06'17'04.0""","E 106'54'31.4",-6.28444444444444,106.908722222222
"162","E156","Environment","#339900","Kranggan","05_Upstream","10",6,"Kranggan","S 06'21'56.5""","E 106'54'51.2",-6.36569444444444,106.914222222222
"163","E157","Environment","#339900","Kranggan","05_Upstream","11146",6,"Kranggan","S 06'21'56.5""","E 106'54'51.2",-6.36569444444444,106.914222222222
"164","E158","Environment","#339900","Pasar Sawah Barat","03_Market","43",8,"Pasar Sawah Barat","S 06'14'39.1""","E 106'54'23.6",-6.24419444444444,106.93
"165","E159","Environment","#339900","Kali Sindang","07_Downstream","162",9,"Kali Sindang","S 06'06'48.3""","E 106'53'48.7",-6.11341666666667,106.896861111111
"166","E160","Environment","#339900","Kali Sindang","07_Downstream","-",9,"Kali Sindang","S 06'06'48.3""","E 106'53'48.7",-6.11341666666667,106.896861111111
"167","E161","Environment","#339900","Kali Sindang","07_Downstream","-",9,"Kali Sindang","S 06'06'48.3""","E 106'53'48.7",-6.11341666666667,106.896861111111
"168","E162","Environment","#339900","RPHU Rawa Kepiting","04_Slaughtherhouse","7176",12,"RPHU Rawa Kepiting","S 06'11'42.0""","E 106'55'15.2",-6.195,106.920888888889
"169","E163","Environment","#339900","RPHU Rawa Kepiting","04_Slaughtherhouse","3998",12,"RPHU Rawa Kepiting","S 06'11'42.0""","E 106'55'15.2",-6.195,106.920888888889
